customer_city,customer_state,total_orders,total_revenue,avg_order_value
Sao Paulo,SP,15045,1859556.83,106.87
Rio De Janeiro,RJ,6601,955573.97,125.87
Belo Horizonte,MG,2697,346039.04,112.1
Brasilia,DF,2071,295814.72,126.36
Curitiba,PR,1489,205999.33,119.28
Campinas,SP,1406,184657.87,113.57
Porto Alegre,RS,1342,182319.55,115.91
Salvador,BA,1188,173273.05,127.59
Guarulhos,SP,1144,139008.19,107.43
Niteroi,RJ,825,115890.26,120.97
Sao Bernardo Do Campo,SP,911,102514.23,98.48
Santos,SP,700,98349.4,120.82
Goiania,GO,660,96547.85,123.15
Fortaleza,CE,618,93269.67,134.39
Santo Andre,SP,777,89380.83,102.5
