category,total_orders,unique_products,total_revenue,avg_price
health_beauty,8647,2397,1233131.72,130.28
watches_gifts,5495,1300,1166176.98,199.04
bed_bath_table,9272,2991,1023434.76,93.44
sports_leisure,7530,2822,954852.55,113.25
computers_accessories,6530,1600,888724.61,116.26
furniture_decor,6307,2593,711927.69,87.25
housewares,5743,2282,615628.69,90.6
cool_stuff,3559,770,610204.1,164.12
auto,3810,1853,578966.65,139.85
toys,3804,1373,471286.48,116.94
garden_tools,3448,725,470495.28,110.24
baby,2809,890,400421.84,134.28
perfumery,3086,857,390144.65,116.81
telephony,4093,1112,309860.23,69.95
office_furniture,1254,302,268154.31,160.76
