seller_id,seller_city,seller_state,total_orders,products_sold,total_revenue,avg_price
4869f7a5dfa277a7dca6462dcf3b52b2,Guariba,SP,1124,94,226987.93,197.72
53243585a1d6dc2643021fd1853d8905,Lauro De Freitas,BA,348,23,217940.44,544.85
4a3ca9315b744ce9f8e9374361493884,Ibitinga,SP,1772,394,196882.12,101.02
fa1c13f2614d7b5c4749cbc52fecda94,Sumare,SP,578,284,190917.14,329.74
7c67e1448b00f6e969d365cea6b010ab,Itaquaquecetuba,SP,973,197,186570.05,137.69
7e93a43ef30c4f03f38b393420bc753a,Barueri,SP,319,175,165981.49,515.47
da8622b14eb17ae2831f4ac5b9dab84a,Piracicaba,SP,1311,221,159816.87,103.24
7a67c85e85bb2ce8582c35f2203ad736,Sao Paulo,SP,1145,146,139658.69,120.92
1025f0e2d44d7041d6cf58b6550e0bfa,Sao Paulo,SP,910,153,138208.56,97.33
955fee9216a65b617aa5c0531780ce60,Sao Paulo,SP,1261,103,131836.71,89.56
46dc3b2cc0980fb8ec44634e21d2718e,Rio De Janeiro,RJ,503,183,122811.38,234.82
6560211a19b47992c3666cc44a7e94c0,Sao Paulo,SP,1819,254,120702.83,60.47
620c87c171fb2a6dd6e8bb4dec959fc6,Petropolis,RJ,722,124,112461.5,144.55
7d13fca15225358621be4086e1eb0964,Ribeirao Preto,SP,558,57,112436.18,196.91
5dceca129747e92ff8ef7a997dc4f8ca,Santa Barbara D´Oeste,SP,322,47,111126.73,323.98
